Name,SMILES,Mol Wt,LogP,TPSA,HBD,HBA,AtomCount,RotatableBonds,MR,Lipinski,Ghose,Veber,Egan,PassScore
Nicotine,CN1CCC[C@H]1C2=CN=CC=C2,162.23600000000002,1.8483,16.130000000000003,0,2,12,1,48.842000000000034,True,False,True,True,3
Amitriptyline,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,277.411,4.168600000000003,3.24,0,1,21,3,90.54200000000006,True,True,True,True,4
"3,4-Methylenedioxymethamphetamine",CC(CC1=CC2=C(C=C1)OCO2)NC,193.24599999999995,1.5656999999999996,30.490000000000002,1,3,14,3,54.79070000000004,True,False,True,True,3
Clozapine,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,326.8310000000001,3.7227000000000023,30.869999999999997,1,4,23,0,96.44370000000004,True,True,True,True,4
Bisacodyl,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3,361.3970000000001,4.112400000000003,65.49000000000001,0,5,27,5,100.68400000000003,True,True,True,True,4
Amitriptyline Hydrochloride,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,313.872,4.590400000000005,3.24,0,1,22,3,97.79000000000005,True,True,True,True,4
Mianserin Hydrochloride,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42.Cl,300.833,3.505700000000003,6.48,0,2,21,0,90.52200000000005,True,True,True,True,4
"N-Methyl-3,4-methylenedioxyamphetamine Hydrochloride",CC(CC1=CC2=C(C=C1)OCO2)NC.Cl,229.70699999999997,1.9875000000000003,30.490000000000002,1,3,15,3,62.03870000000004,True,False,True,True,3
Theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2,180.167,-1.0397000000000005,72.68,1,5,13,0,46.575700000000005,True,False,True,False,2
Papaverine,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,339.39100000000013,3.860000000000003,49.81,0,5,25,6,97.19900000000007,True,True,True,True,4
Diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,284.74600000000004,3.1538000000000013,32.67,0,2,20,1,81.81000000000003,True,True,True,True,4
Valproic Acid,CCCC(CCC)C(=O)O,144.214,2.2874,37.3,1,1,10,5,40.9418,True,False,True,True,3
Trifluoperazine,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,407.5050000000001,4.945600000000004,9.72,0,4,28,4,107.56900000000006,True,True,True,True,4
Tolbutamide,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,270.354,1.78302,75.27000000000001,2,3,18,5,69.80720000000004,True,False,True,True,3
Chlorpromazine,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,318.87300000000005,4.894400000000004,6.48,0,3,21,4,92.19400000000005,True,True,True,True,4
Desipramine,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,266.388,3.5328000000000026,15.27,1,2,20,4,85.84170000000005,True,True,True,True,4
Theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C,180.16699999999997,-1.0397,72.68,1,5,13,0,46.575700000000005,True,False,True,False,2
Droperidol,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,379.43500000000006,3.6784000000000026,58.1,1,4,28,6,107.85320000000003,True,True,True,True,4
Reserpine,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,608.6880000000003,4.171100000000004,117.78000000000002,1,10,44,8,160.68719999999962,True,False,True,True,3
Isoniazid,C1=CN=CC=C1C(=O)NN,137.14199999999997,-0.3149000000000001,68.01,2,3,10,1,35.89059999999999,True,False,True,True,3
Gossypol,CC1=CC2=C(C(=C(C(=C2C(C)C)O)O)C=O)C(=C1C3=C(C4=C(C=C3C)C(=C(C(=C4C=O)O)O)C(C)C)O)O,518.5620000000004,6.382240000000009,155.51999999999998,6,8,38,5,145.30579999999992,False,False,False,False,0
L-Tryptophan,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,204.22899999999996,1.1222999999999996,79.11,3,2,15,3,57.613900000000015,True,False,True,True,3
Podophyllotoxin,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O,414.4100000000002,2.4092000000000007,92.68,1,8,30,4,103.40480000000005,True,True,True,True,4
Diethylstilbestrol,CC/C(=C(/CC)\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)O,268.356,4.828600000000005,40.46,2,2,20,4,83.60960000000004,True,True,True,True,4
Cycloserine,C1[C@H](C(=O)NO1)N,102.093,-1.6248999999999993,64.35,2,3,7,0,22.0701,True,False,True,False,2
Nortriptyline,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,263.38399999999996,3.826400000000003,12.03,1,1,20,3,85.91470000000005,True,True,True,True,4
Pyrazinamide,C1=CN=C(C=N1)C(=O)N,123.115,-0.42450000000000004,68.87,1,3,9,1,30.549899999999997,True,False,True,True,3
Levodopa,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,197.19,0.05219999999999969,103.78,4,4,14,3,49.08680000000001,True,False,True,True,3
Dienestrol,C/C=C(/C(=C/C)/C1=CC=C(C=C1)O)\C2=CC=C(C=C2)O,266.34,4.604600000000005,40.46,2,2,20,3,83.51560000000003,True,True,True,True,4
Nordiazepam,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3,270.719,3.129500000000001,41.46,1,2,19,1,77.02970000000002,True,False,True,True,3
Ethionamide,CCC1=NC=CC(=C1)C(=S)N,166.24899999999997,1.2782,38.91,1,2,11,2,49.502400000000016,True,False,True,True,3
Cimetidine,CC1=C(N=CN1)CSCCNC(=NC)NC#N,252.347,0.5973999999999998,88.88999999999999,3,4,17,5,69.59710000000001,True,False,True,True,3
Glibenclamide,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,494.01300000000026,3.641700000000002,113.6,3,5,33,8,126.20940000000006,True,False,True,True,3
(-)-Galantamine,CN1CC[C@@]23C=C[C@@H](C[C@@H]2OC4=C(C=CC(=C34)C1)OC)O,287.359,1.8503000000000003,41.93000000000001,1,4,21,1,79.80280000000005,True,True,True,True,4
Diprophylline,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O,254.24599999999998,-2.2130999999999985,102.28,2,8,18,3,63.30760000000002,True,False,True,False,2
Trazodone,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,371.87200000000007,2.3617,45.78,0,6,26,5,104.17400000000002,True,True,True,True,4
Clomipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,314.86,4.528400000000004,6.48,0,2,22,4,95.47900000000006,True,True,True,True,4
Carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,236.27399999999997,3.3872000000000018,46.33,1,1,18,0,73.53440000000002,True,False,True,True,3
Thalidomide,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,258.233,0.08779999999999943,83.55000000000001,1,4,19,1,63.113700000000016,True,False,True,True,3
Phenolphthalein,C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,318.32800000000003,3.5601000000000016,66.76,2,4,24,2,87.95310000000002,True,True,True,True,4
Dapsone,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,248.307,1.6838,86.18,2,4,17,2,67.16060000000002,True,False,True,True,3
Amantadine,C1C2CC3CC1CC(C2)(C3)N,151.253,1.9139000000000002,26.02,1,1,11,0,45.09040000000002,True,False,True,True,3
